G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,name,pos
33,2023-01-04,25-306,PHI,,IND,W (+3),0,21:26,2,5,.400,1,3,.333,0,0,,1,1,2,1,0,0,0,0,5,4.0,+14,Steven Adams,C
34,2023-01-06,25-308,PHI,,CHI,L (-14),0,11:43,0,3,.000,0,2,.000,0,0,,0,1,1,1,0,1,0,0,0,-0.4,-13,Steven Adams,C
35,2023-01-08,25-310,PHI,@,DET,W (+12),0,22:56,2,6,.333,1,4,.250,0,0,,0,1,1,2,5,0,0,1,5,7.9,+2,Steven Adams,C
36,2023-01-10,25-312,PHI,,DET,W (+31),0,9:37,2,4,.500,0,1,.000,0,0,,1,0,1,1,1,1,0,2,4,4.3,-16,Steven Adams,C
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steven Adams,C
37,2023-01-12,25-314,PHI,,OKC,L (-19),0,10:52,0,0,,0,0,,0,0,,0,0,0,0,1,1,0,3,0,0.5,-27,Steven Adams,C
38,2023-01-14,25-316,PHI,@,UTA,W (+1),0,20:27,1,3,.333,0,2,.000,0,0,,1,3,4,1,1,0,1,3,2,1.4,+1,Steven Adams,C
39,2023-01-15,25-317,PHI,@,LAL,W (+1),0,9:53,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,+2,Steven Adams,C
40,2023-01-17,25-319,PHI,@,LAC,W (+10),0,8:03,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,1,0,-0.7,0,Steven Adams,C
41,2023-01-19,25-321,PHI,@,POR,W (+10),0,16:55,1,4,.250,0,1,.000,0,0,,0,1,1,0,2,2,0,3,2,2.1,+5,Steven Adams,C
42,2023-01-21,25-323,PHI,@,SAC,W (+2),0,13:03,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,3,2,1.1,+3,Steven Adams,C
43,2023-01-25,25-327,PHI,,BRK,W (+4),0,12:11,3,5,.600,2,4,.500,2,2,1.000,2,0,2,1,3,0,0,2,10,12.0,-2,Steven Adams,C
44,2023-01-28,25-330,PHI,,DEN,W (+7),0,12:13,1,2,.500,0,0,,0,0,,2,0,2,0,3,0,0,0,2,5.4,+10,Steven Adams,C
45,2023-01-30,25-332,PHI,,ORL,L (-10),0,11:19,3,5,.600,2,3,.667,2,2,1.000,0,1,1,2,2,0,0,0,10,11.4,+6,Steven Adams,C
46,2023-02-01,25-334,PHI,,ORL,W (+11),0,9:30,0,0,,0,0,,2,2,1.000,0,2,2,0,0,0,0,0,2,2.6,+7,Steven Adams,C
47,2023-02-03,25-336,PHI,@,SAS,W (+12),0,15:52,2,4,.500,0,1,.000,0,0,,1,0,1,1,2,0,0,1,4,5.0,+13,Steven Adams,C
48,2023-02-05,25-338,PHI,@,NYK,L (-11),0,10:05,0,1,.000,0,0,,0,0,,3,1,4,0,1,0,0,2,0,1.9,-17,Steven Adams,C
49,2023-02-08,25-341,PHI,@,BOS,L (-7),0,9:55,1,3,.333,1,2,.500,0,0,,0,1,1,0,1,0,1,2,3,0.8,-4,Steven Adams,C
,2023-02-10,25-343,POR,,OKC,L (-9),Inactive,,,,,,,,,,,,,,,,,,,,,,Steven Adams,C
50,2023-02-13,25-346,POR,,LAL,W (+12),1,26:29,5,9,.556,4,6,.667,0,0,,1,5,6,2,1,3,1,2,14,14.6,+11,Steven Adams,C
51,2023-02-14,25-347,POR,,WAS,L (-25),1,30:09,1,4,.250,0,3,.000,0,0,,0,1,1,1,4,0,1,4,2,2.0,-2,Steven Adams,C
52,2023-02-23,25-356,POR,@,SAC,L (-17),1,26:49,2,5,.400,1,2,.500,0,1,.000,0,4,4,2,2,0,1,3,5,4.3,-3,Steven Adams,C
53,2023-02-26,25-359,POR,,HOU,W (+17),1,35:39,3,6,.500,2,5,.400,0,0,,1,2,3,2,2,1,0,6,8,8.0,+29,Steven Adams,C
54,2023-02-28,25-361,POR,@,GSW,L (-18),1,25:01,5,7,.714,5,6,.833,0,0,,3,0,3,0,1,2,0,1,15,16.2,-6,Steven Adams,C
